diet,weight
1,115.5
1,111.5
1,102.7
2,123.7
2,123.9
2,121.2
3,105.1
3,112.2
3,122.1
4,76.4
4,77.1
4,69.1
5,182.2
5,186.3
5,173.8
6,86.4
6,79.1
6,90.7
7,67.4
7,63
7,69
8,144.8
8,137.1
8,118.4
