Diet,Growth Rate (g/day),SGR,Average Wt (g),FCR,Feed Efficiency,Liver Weight (g),Eviscerated Weight (g),Condition Factor (g/cm3),Weight Diff (g),Percent viscera,H.S.I.
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
