sample,fishid,diet,wt,tlmm,liverwt,evisceratedwt,conditionfactor,wtdiff,percentviscera,hsi
5,62,FSH,117.5,230,0.97,112,0.97,5.5,4.68,0.825531915
5,63,FSH,112.2,225,0.4,106,0.99,6.2,5.53,0.356506239
5,64,FSQ,120.1,228,0.72,115,1.01,5.1,4.25,0.599500416
5,65,FSQ,116.4,228,0.9,110,0.98,6.4,5.5,0.773195876
5,66,FSQ,95.6,215,0.62,92,0.96,3.6,3.77,0.648535565
5,67,SHSQ,60.9,183,0.45,58,0.99,2.9,4.76,0.738916256
5,68,SHSQ,49.7,170,0.31,47,1.01,2.7,5.43,0.623742455
5,69,SHSQ,73.7,195,0.65,69,0.99,4.7,6.38,0.881953867
5,70,SH,99.6,212,0.71,96,1.05,3.6,3.61,0.712851406
5,71,SH,85.5,203,0.39,81,1.02,4.5,5.26,0.456140351
5,72,SH,106.6,221,0.53,100,0.99,6.6,6.19,0.497185741
